,index,Unnamed: 0,abstract,president
0,0,0,"It may be too soon to identify an Obama Cinema, but the president’s second inauguration seems an appropriate time to try.",Obama
1,1,1,"The nominations of Chuck Hagel and John Brennan, two men with Bush-era perspectives, tell us something about the president’s foreign policy.",Obama
2,2,2,Here’s hoping the president goes big in his plans for his second term.,Obama
3,3,3,Jodi Kantor examines how the Obamas' first four years in the White House have affected and changed them.,Obama
4,4,4,"Read three student letters, released by the White House to The Associated Press, asking President Obama to change gun laws.",Obama
5,5,5,Portraits from 2008 and 2009 of Barack Obama’s incoming administration and an update of who is still around.,Obama
6,6,6,"The president holds the approval of 51 percent of Americans, according to a poll by The New York Times and CBS News.",Obama
7,7,7,"David Leonhardt, the Washington bureau chief, hosts a preview of President Obama’s second inauguration. Reports from Washington, Chicago and California.",Obama
8,8,8,Washington has become a mecca for young professionals drawn to its blooming economy and its revitalized center.,Obama
9,9,9,The latest poll by The Times and CBS News shows few people hold a negative view of President Obama’s spouse.,Obama
10,10,10,Four more years and he’s feeling pretty good about it.,Obama
11,11,11,The president’s inaugural parade next Monday will feature eight floats.,Obama
12,12,12,"After helping President Obama win re-election, his action group, renamed Organizing for Action, will raise money and rally support for his agenda.",Obama
13,13,13,"In his news conference Monday, President Obama suggested that Washington will have tamed the government’s debt problems if the two parties can agree on another $1.5 trillion or so in spending cuts and tax increases.",Obama
14,14,14,"The Times's Peter Baker examines the new team of White House advisers, including Denis R. McDonough, considered to be a top choice to replace Jacob J. Lew as the White House chief of staff.",Obama
15,15,15,"President Obama outlined his proposals to reduce gun violence in the United States, urging Congress to approve expanded background checks, a ban on assault weapons and other restrictions.",Obama
16,16,16,The Times's Michael D. Shear takes a look at the chances of President Obama's gun control package getting through the House and Senate.,Obama
17,17,17,What Obama can do to cut climate risk and improve the environment in his second term.,Obama
18,18,18,President Obama and President Hamid Karzai meet to discuss the future of the American commitment in Afghanistan.,Obama
19,19,19,President Obama addresses the need to increase the debt limit and other issues during a news conference Monday at the White House.,Obama
20,20,20,"While the White House itself employs about an equal number of men and women under President Obama, the gender ratio of appointees in 11 of the 15 cabinet departments favors men.",Obama
21,21,21,"President Obama nominated Jacob J. Lew, the White House chief of staff, to succeed Timothy F. Geithner as secretary of the treasury.",Obama
22,22,22,"Some of the proposals that President Obama is expected to make on Wednesday will be intended not only to prevent mass shootings, but also to curb everyday gun violence.",Obama
23,23,23,"On Friday, President Obama and President Hamid Karzai of Afghanistan will confront vastly different positions on future American troop levels and other issues.",Obama
24,24,24,"President Obama’s nominee for secretary of defense, Chuck Hagel, received a resounding vote of support from a fellow Republican moderate, Colin L. Powell, who said the former Nebraska senator was “superbly qualified” to lead the Pentagon.",Obama
25,25,25,"After meeting with President Hamid Karzai of Afghanistan, President Obama said American troops would play a supporting role to Afghans beginning this spring.",Obama
26,26,26,"With each side claiming popular support, President Obama and Congress’s Republican leaders dug in on their positions.",Obama
27,27,27,Barack Obama should examine the setbacks faced by presidents who served before him.,Obama
28,28,28,"The Times’s chief film critics are making the case for Obama Cinema, movies that in some intrinsic way reflect the country and especially its leader since 2008. What film would you include?",Obama
29,29,29,Jacob J. Lew is part of a small circle of economic advisers who have ascended to prominent roles in the first term of the Obama presidency and will shape policy in the second.,Obama
30,30,30,"The president’s gun agenda faces steep political hurdles, including a well-funded opposition that has repeatedly threatened retribution against any politician that backs new gun laws.",Obama
31,31,31,Senators Marco Rubio of Florida and Charles E. Grassley of Iowa were among those accusing the president of abusing his executive power by taking 23 executive actions on gun violence at the same time that he asked Congress to pass legislation.,Obama
32,32,32,President Obama and President Hamid Karzai spoke about postwar Afghanistan at the White House on Friday.,Obama
33,33,33,"Under fire for nominating a series of white men to top posts in recent days, President Obama vowed that his second-term team would be diverse and urged critics not to “rush to judgment.”",Obama
34,34,34,"Unlike during the 2011 debt ceiling negotiations, this time it is only members of Congress who will come before voters again.",Obama
35,35,35,"As the president begins his second term, he holds the approval of 51 percent of Americans, according to a poll by The New York Times and CBS News.",Obama
36,36,36,"President Obama and Senate Democrats will try to carve a legislative path to citizenship for illegal immigrants with one comprehensive bill, resisting Republican proposals to tackle the issue piecemeal.",Obama
37,37,37,The following is the complete transcript from President Obama’s final press conference of his first term.,Obama
38,38,38,"President Obama on Wednesday unveiled plans to introduce legislation by next week that includes a ban on assault weapons, limits on high-capacity magazines and other steps.",Obama
39,39,39,"The president said he was nominating the acting director of the Bureau of Alcohol, Tobacco, Firearms and Explosives, B. Todd Jones, to lead the agency on a permanent basis.",Obama
40,40,40,President Obama will formally unveil his plans for reducing gun violence at a White House event Wednesday.,Obama
41,41,41,"President Obama and the Afghan president, Hamid Karzai, confronted the future of the American commitment in Afghanistan.",Obama
42,42,42,Read the full text of President Obama’s speech on toughening gun laws on Wednesday in Washington.,Obama
43,43,43,"President Obama pledged to crack down on what he called “weapons of war,” but the White House is emphasizing other measures it deems more politically achievable.",Obama
44,44,44,"President Obama heads into his second term in office with an overall positive approval rating, but the public remains ambivalent about his handling of the economy.",Obama
45,45,45,President Obama named John O. Brennan as the new director of the Central Intelligence Agency.,Obama
46,46,46,When President Obama takes the public oath of office on Jan. 21 – the federal holiday commemorating the birth of the Rev. Dr. Martin Luther King Jr. – he will use a Bible that belonged to the slain civil rights leader.,Obama
47,47,47,President Obama nominates Chuck Hagel for secretary of defense and John O. Brennan for director of the Central Intelligence Agency.,Obama
48,48,48,TimesCast: President Obama picks new chiefs for the C.I.A. and Defense Department. | A look at how more guns means more killing. | Peruvian village forced to make way for a giant mine.,Obama
49,49,49,"The effort, which shows each of the four children sitting in a chair, is certain to generate criticism that the president is exploiting little children for his own political purposes.",Obama
50,50,50,"The Israeli prime minister, Benjamin Netanyahu, dismissed comments attributed to President Obama that denounced his policies.",Obama
51,51,51,The appointment of Denis R. McDonough would continue President Obama’s practice of putting the people he trusts most in critical positions.,Obama
52,52,52,President Obama for the fifth time must choose the aide who will be the gatekeeper for every problem and person that comes before him.,Obama
53,53,53,"Members of Obama’s first administration learned a humbling lesson in Washington realpolitik, but they remember it more like a great episode of “The West Wing.”",Obama
54,54,54,"President Obama this week is expected to embrace a plan to reduce gun violence that will also lay out separate actions he could take himself, without approval from Congress.",Obama
55,55,55,"The new fiscal deal holds small victories for President Obama and his Democratic allies in Congress that further their policy aims, but Mr. Obama lost some leverage for future battles.",Obama
56,56,56,"Former Senator Chuck Hagel is accused by members of his own party of being anti-Israel, antigay and soft on Iran.",Obama
57,57,57,"In a long-awaited memoir, Gen. Stanley A. McChrystal says disputes with the White House began at the beginning of President Obama’s first term.",Obama
58,58,58,"Mr. Obama gets to choose who swears him in as president, and once again he chose Chief Justice John Roberts.",Obama
59,59,59,"Days after one high-stakes standoff over finances was resolved, the two sides are getting ready for another as Congress prepares to address the nation’s borrowing limit.",Obama
60,60,60,President Obama eased back into the relaxing groove of his Christmas in Hawaii vacation after a brief hiatus to wrangle with Congress over a deal to avert a fiscal crisis.,Obama
61,61,61,The president said he had the power to override a defense measure’s limits on the executive branch’s ability to transfer detainees out of military prisons.,Obama
62,62,62,"Given the leading contenders for other top jobs, President Obama’s inner circle will continue to be dominated by men well into his second term.",Obama
63,63,63,"President Obama says a deal is “within sight,” less than 24 hours before the so-called fiscal cliff.",Obama
64,64,64,"President Obama will announce on Thursday that he intends to elevate Jacob J. Lew to be the next secretary of Treasury, officials familiar with the decision said.",Obama
65,65,65,"Rather than have the so-called fiscal cliff bill flown to Hawaii, where he is vacationing with his family, the president directed that the bill be signed with the White House autopen.",Obama
66,66,66,"The White House is betting that opposition to Chuck Hagel, a maverick Republican former senator nominated for defense secretary, won’t stop his confirmation in the Senate.",Obama
67,67,67,President Obama said an inquiry on the episode that claimed four American lives in Libya had identified “huge problems” in how the State Department protects its missions abroad.,Obama
68,68,68,Disappointed liberals are complaining that President Obama caved in on taxes and sent a signal that he would ultimately surrender on other priorities.,Obama
69,69,69,"A selection of sheaths, prints, gowns and cardigans worn by the first lady.",Obama
70,70,70,The president says he will wait for a report from a task force chaired by the vice president before proposing specific gun-control legislation.,Obama
71,71,71,Official results from the New York City Board of Elections show Mr. Obama won 81 percent of the vote.,Obama
72,72,72,"Senator Charles E. Schumer of New York discusses the preparations for President Obama's second inauguration on January 21, 2013.",Obama
73,73,73,"President Obama returned to the White House on Thursday to resume efforts to end a partisan fiscal impasse with the family dog, Bo.",Obama
74,74,74,The president could leave Hawaii on Wednesday to work toward a compromise with returning lawmakers.,Obama
75,75,75,President Obama begins his second term in office this weekend.,Obama
76,76,76,Chicago drill team overcomes street violence to earn a spot in Obama's inaugural parade.,Obama
77,77,77,"David Leonhardt, the Washington bureau chief, talks with the reporter Peter Baker about what the next four years may bring and how this inauguration differs from President Obama’s first.",Obama
78,78,78,"Many of those who collectively raised more than a billion dollars to elect President Obama are also would-be diplomats, engaged in a scramble for about 30 plum embassy posts.",Obama
79,79,79,The latest polling measured American attitudes toward President Obama at the beginning of his second term.,Obama
80,80,80,"President Obama would do well to recognize that to lead our country, he must master the day-to-day management of government.",Obama
81,81,81,"Political news from today’s Times, plus a look at what’s happening in Washington.",Obama
82,82,82,Statements made by President Obama while campaigning for his first term.,Obama
83,83,83,"Officials expect 600,000 to 800,000 people to turn out on the National Mall to witness Monday’s inauguration, typical for most inaugurations but far short of the 1.8 million who clogged the city in 2009.",Obama
84,84,84,"Marcus Mabry sits down with Benjamin Todd Jealous, the president and chief executive of the National Association for the Advancement of Colored People.",Obama
85,85,85,"President Obama and his advisers are developing a strategy intended to avoid the pitfalls of his predecessors with a robust agenda focused on the economy, gun control, immigration and energy.",Obama
86,86,86,"David Plouffe, White House senior adviser, joins the Sunday shows to talk about President Obama’s second term.",Obama
87,87,87,Planners of President Obama’s inauguration named eight “citizen co-chairs” attuned to his agenda.,Obama
88,88,88,TimesCast Politics: Proposals face Congressional resistance. | Business groups want restraint on debt ceiling threats. | The White House readies a new team of advisors.,Obama
89,89,89,TimesCast: What to expect from President Obama’s gun control proposal. | France begins a ground war against Malian insurgents.,Obama
90,90,90,TimesCast: Policy makers weigh options and appetite for involvement. | Ben Affleck on his inspiration for “Argo.” | Responding to a virulent flu season.,Obama
91,91,91,"Christopher Scott, the owner of Brooklyn Commune, is one of the volunteer chefs who will be responsible for feeding the Brooklyn Tabernacle Choir, which is performing at President Obama’s second inauguration.",Obama
92,92,92,President Obama addressed the looming deadline for a fiscal deal to avert automatic cuts and tax increases.,Obama
93,93,93,"After years of sorrowful declarations and inaction from American presidents, President Obama steps up.",Obama
94,94,94,"Negotiating experts consider how President Obama and Republican leaders might achieve goals without subjecting the markets, the American people and the global economy to a game of chicken.",Obama
95,95,95,"A big, bipartisan deal for reform in divided Washington? Here’s hoping.",Obama
96,96,96,"Prime Minister David Cameron postponed a speech in Amsterdam on Britain’s future in Europe, citing the need to stay in London for developments in the hostage crisis in Algeria.",Obama
97,97,97,A Web video published by the gun rights group suggested that the president was an “elitist” because his two daughters have protection while he opposes posting armed guards at schools.,Obama
98,98,98,It seems as though everything is in place for President Obama’s second term to be filled with more aggressive recriminations and bulldozing.,Obama
99,99,99,President Obama should declassify and release the legal analysis he relies on for targeting and killing American citizens.,Obama
100,100,100,"Emissions from mining, transporting and refining the oil fail to factor in the impact of petroleum coke, a highly carbon-rich byproduct, one report argues.",Obama
101,101,101,The Times's Michael D. Shear discusses President Obama's strategy on gun control reform.,Obama
102,102,102,"Interior Secretary Ken Salazar will leave President Obama’s cabinet by March, creating another opening for the president to fill as he begins his second term.",Obama
103,103,103,"Why have second inaugurals fared poorly, and why did Abraham Lincoln’s succeed?",Obama
104,104,104,TimesCast Politics: Obama plots strategy. | An interview with a Democratic leader on the issue. | New York is set to enact tougher restrictions.,Obama
105,105,105,Republicans said they would back down on the borrowing limit to open a window for Congress to pass a budget and begin talks on long-term deficit reduction.,Obama
106,106,106,"“The President of Vice,” an e-book that will be released Friday at the Kindle Singles store of Amazon.com, offers a ponytail-wearing, Trans Am-washing version of the vice president familiar to readers of The Onion.",Obama
107,107,107,"American intelligence agencies have discovered that North Korea is moving mobile missile launchers around the country, some carrying a new generation of powerful rocket.",Obama
108,108,108,"The latest New York Times/CBS News poll is based on telephone interviews conducted Jan. 11 through Jan. 15 with 1,110 adults throughout the United States.",Obama
109,109,109,"If you think guns make us safer, consider this story of a goose that almost led to a shootout.",Obama
110,110,110,Some corporate executives and Republicans have found themselves on opposite sides in the fiscal crisis debate.,Obama
111,111,111,Our economy won’t come back strong unless it also becomes more fair.,Obama
112,112,112,"For Barry, it’s really, really lonely at the top.",Obama
113,113,113,One obstacle President Obama may face in proposing a new federal ban on assault weapons could lie in the use of the term “assault weapon” itself.,Obama
114,114,114,Senator Charles E. Schumer of New York told President Obama on Tuesday that he was optimistic that he could vote for the confirmation of Chuck Hagel as secretary of defense.,Obama
115,115,115,"A State Department cable said forces loyal to President Bashar al-Assad of Syria may have used chemical weapons in the city of Homs on Dec. 23, according to a report.",Obama
116,116,116,"As soon as Feb. 15, the nation may face intractable options in deciding whom to pay when bills come due.",Obama
117,117,117,"The levying of fines over Russia’s refusal to turn over the Schneerson Collection added tension to Russian-American relations, which have become strained over the past year.",Obama
118,118,118,The president’s position in the gun debate is in step with a majority of Americans. The N.R.A. is woefully out of step.,Obama
119,119,119,Brooks and Collins wonder what good can come out this week’s House Republican retreat.,Obama
120,120,120,A roundup of inaugural events to covet this year.,Obama
121,121,121,New York Times interactive developer Derek Willis describes how he used the mobile version of a government publication to contribute to a story on presidential appointees.,Obama
122,122,122,Political news from today’s Times and a look at the latest happenings in Washington.,Obama
123,123,123,Many are hoping that President Obama will signal support for a pact in his State of the Union address next month.,Obama
124,124,124,"The planes were sent to support an attempt by French commandos to rescue a French agent held hostage in Somalia, President Obama told Congress in a letter Sunday.",Obama
125,125,125,The White House has a rare chance to propose and push through an agenda of tougher laws for public safety.,Obama
126,126,126,A new draft federal report on climate change foresees enormous impacts across the United States should greenhouse gas emissions continue unabated.,Obama
127,127,127,Rejection of an accord on disabilities wasn’t just Republicans’ fault.,Obama
128,128,128,All the president’s men can’t figure out why all the president has is men.,Obama
129,129,129,"Despite the Obama administration’s best efforts, the lack of affordable housing remains one of America’s most vexing problems.",Obama
130,130,130,"Between Harry Reid’s inflations and President Obama’s nominations, Democrats are playing a game of arrogance and needless errors.",Obama
131,131,131,The administration mistakenly buys into a Republican plan to cut cost-of-living increases.,Obama
132,132,132,The Obama inaugural committee is struggling to enlist corporate donors to help toward its $50 million goal.,Obama
133,133,133,"President Obama nominated Jacob J. Lew to be the Treasury secretary, the Consumer Electronics Show took over Las Vegas and Boeing ran into more problems with its 787 Dreamliner.",Obama
134,134,134,"President Obama and President Karzai described some encouraging progress, but they still have some big decisions to make.",Obama
135,135,135,Senate Democrats wrote to the president asking him to take any steps in the face of Republican opposition to avoid a default on the national debt.,Obama
136,136,136,A movie-spawned fascination with Lugers bumps up against the reality of today’s assault weapons.,Obama
137,137,137,"Chuck Hagel, the defense secretary-designate, has been characterized as soft on Iran, but he has been sounding more hawkish since meetings at the Pentagon, officials say.",Obama
138,138,138,TimesCast Politics: Activists speak out in Arizona. | An interview with a conservative voice. | Can legislation actually pass the House?,Obama
139,139,139,President Obama warned John Boehner that he would veto his Plan B for the fiscal cliff. And he appointed Joe Biden to lead a task force on guns.,Obama
140,140,140,"The Rev. Louie Giglio, selected by President Obama to deliver the benediction, withdrew amid controversy over remarks he made in the 1990s about homosexuality.",Obama
141,141,141,"The president’s cabinet is more than furniture, and he should make good use of it.",Obama
142,142,142,"Background information on Jacob J. Lew, President Obama choice for the secretary of Treasury.",Obama
143,143,143,"In fiscal 2012, the energy sector was the target of around 40 percent of cybersecurity threats to the nation’s infrastructure.",Obama
144,144,144,An animated view of the common ground that’s possible on climate change between people with different politics.,Obama
145,145,145,"The Rev. Louie Giglio, who has been chosen to deliver the benediction at President Obama’s second inauguration, is being criticized for an antigay sermon.",Obama
146,146,146,"The minister President Obama picked to deliver the benediction at his inauguration this month once delivered a sermon in which he called on fellow Christians to fight the ”aggressive agenda” of the gay rights movement, and advocated “the healing power of Jesus” as “the only way out of a homosexual lifestyle.”",Obama
147,147,147,Key differences between the $838 billion economic recovery plan outlined by the Senate and the $820 billion version that passed the House.,Obama
148,148,148,The departure of Secretary of Labor Hilda L. Solis removes another woman from the cabinet as President Obama’s personnel choices are drawing scrutiny for lack of female candidates.,Obama
149,149,149,Most changes will have to come through legislation. But President Obama can do some work on his own.,Obama
150,150,150,"The president has a plausible way to work around the nation’s borrowing limit. The sooner Congress knows that, the better.",Obama
151,151,151,"Although the Obama administration has a stated goal of buying only alternative-technology vehicles for the federal government’s fleet of vehicles by 2015, the number of hybrid and electric vehicles bought by the government dropped by a third last year, according to Bloomberg News.",Obama
152,152,152,"On Wednesday the inaugural planners will announce that Richard Blanco will be the 2013 inaugural poet, joining the ranks of notables like Robert Frost and Maya Angelou.",Obama
153,153,153,"President Obama’s selection of a new national security team appears to have ended, at least for now, many of the internal debates about military interventions.",Obama
154,154,154,"On the eve of a visit by President Hamid Karzai of Afghanistan, the Obama administration said Tuesday that it was open to a so-called zero option when the NATO combat mission there ends.",Obama
155,155,155,"Myrlie Evers-Williams, a former chairwoman of the N.A.A.C.P. who is also the widow of the slain civil rights activist Medgar Evars, will deliver the invocation at President Obama’s second inaugural this month, Mr. Obama’s inaugural planners said.",Obama
156,156,156,TimesCast Politics: Nominations beyond Chuck Hagel and John Brennan. | An interview with Nancy Pelosi. | Bloomberg’s active role in picking his successor.,Obama
157,157,157,"The National Rifle Association will send a representative to a meeting on guns this week hosted by Vice President Joseph R. Biden Jr., an official with the organization said.",Obama
158,158,158,TimesCast Politics: Nominations beyond Chuck Hagel and John Brennan. | An interview with Nancy Pelosi. | Bloomberg’s active role in picking his successor.,Obama
159,159,159,The head of the American Petroleum Institute says that a rosy oil future depends on the federal government’s not raising taxes on companies or imposing new environmental rules.,Obama
160,160,160,"President Obama, conceding that a “grand bargain” for deficit reduction with Speaker John A. Boehner is unlikely, called for Congress to approve a more modest measure by year’s end.",Obama
161,161,161,"President Obama tells Time magazine what he learned from “Lincoln,” one of a few films this season that get his thumbs-up.",Obama
162,162,162,"Before they can expect confirmation by the Senate, Chuck Hagel and John Brennan have serious questions to answer.",Obama
163,163,163,The deans of the nation’s top public health schools sent a letter to President Obama condemning the use of a vaccination campaign ruse that has caused a severe backlash in Pakistan.,Obama
164,164,164,"In the aftermath of a deadly shooting at Sandy Hook Elementary in Newtown, Conn., President Obama addresses the nation on gun control and also talks about ongoing fiscal negotiations.",Obama
165,165,165,"The Obama administration spent significantly more on immigration enforcement last year than on all the other major federal law enforcement agencies combined, a report says.",Obama
166,166,166,A national crackdown on the devastating flow of illegal guns is long overdue.,Obama
167,167,167,The Times’s Mark Landler talks about President Obama’s choices of Chuck Hagel to lead the Defense Department and John O. Brennan to head the Central Intelligence Agency.,Obama
168,168,168,"As our budget braces for Medicare’s tyranny, we just need a good overseer to manage the inevitable military decline.",Obama
169,169,169,"In a show of international cooperation that involved Russia and Iraq, Syria was persuaded to stop chemical bomb preparation. But the United States and Europe are not resting easy.",Obama
170,170,170,Newtown has become a decisive test of whether second-term Obama is different. The signs are not good. His Newtown speech did not contain two essential words: guns and laws.,Obama
171,171,171,"All the public tickets to President Obama’s official inaugural ball and parade were snapped up Sunday – a day before they were scheduled to go on sale – after Ticketmaster inadvertently sent out e-mails announcing they were available, inaugural officials said on Monday.",Obama
172,172,172,"On guns, taxes and cabinet choices, many Republicans say they should hold fast because they, too, won elections last month.",Obama
173,173,173,John O. Brennan may have to decide whether the C.I.A. should remain at the center of secret American paramilitary operations or rebuild its traditional espionage capabilities.,Obama
