,abstract,president
0,"President Trump’s fate now rests with a Senate controlled by 53 Republicans, many of whom have already dismissed the charges against him out of hand.",Trump
1,"Mr. Sekulow, who will co-lead the president’s impeachment defense team, has stayed on as Mr. Trump’s personal lawyer while others have left their posts.",Trump
2,The president injected new instability into his looming impeachment trial as Speaker Nancy Pelosi warned that nothing could “erase” the stain on his presidency.,Trump
3,"The basic configuration of the president’s defense team has been established, but other aspects have yet to be determined.",Trump
4,"Speaker Nancy Pelosi plans to name the impeachment managers on Wednesday, and the House is scheduled to vote to move the articles to the Senate.",Trump
5,House Democrats spent the day preparing to cede control of the impeachment process to the Republican-led Senate for a trial.,Trump
6,"Chief Justice John Roberts’s role at an impeachment trial may be mostly ceremonial, but signs of partisanship could damage the Supreme Court.",Trump
7,Trump administration officials say the “Phase 1” deal signed Wednesday will promote growth. Many economic forecasters are less optimistic.,Trump
8,The president’s unsubstantiated account comes as lawmakers seek details about why he authorized the killing of Iran’s most important general.,Trump
9,"But the few times the president did anything in public on Thursday, it was clear he was unnerved by the prospect of a Senate trial.",Trump
10,The Agriculture Department proposed a rule that would further unravel nutrition standards set by Mrs. Obama when she was first lady.,Trump
11,"The dozens of pages of notes, text messages and other records lay out work conducted by Rudolph W. Giuliani and an associate on behalf of the president.",Trump
12,"Fourteen states, New York City and the District of Columbia asked the courts to block the Trump administration from imposing tougher work requirements on food stamp recipients.",Trump
13,"The amount far exceeds what Congress allocated for border barriers this year as the president, with his eye on his re-election campaign, rushes to show major progress on a signature promise.",Trump
14,"When the House votes to send articles of impeachment to the Senate, it sets off a series of choreographed steps — some well-defined, others up for debate — that will shape the Senate trial.",Trump
15,"Senator Chuck Schumer, the minority leader, knows the Senate is unlikely to convict President Trump. So he is focusing on what constitutes a fair trial — and trying to put Republicans in a box.",Trump
16,"Days after the island was hit by a 5.9-magnitude earthquake, the White House released billions in aid but placed limits on how it can be spent.",Trump
17,The president and his allies dismiss the criticism about his Iran actions as partisan blowback from political adversaries too timid to take strong action against foreign enemies.,Trump
18,"The decisions, in Texas and Louisiana, come as the administration has found itself behind schedule on the president’s promise to build 450 miles of border wall by 2021.",Trump
19,"In his address from the White House, the president was misleading in describing the nuclear deal negotiated by the Obama administration.",Trump
20,"The story of that week, and the secret planning in the months preceding it, ranks as the most perilous chapter so far in President Trump’s three years in office.",Trump
21,"The White House, hoping to speed infrastructure projects like pipelines, will formally introduce changes to  a half century-old landmark environmental law.",Trump
22,"Surrounded by his top advisers and military officials, President Trump said, “The United States is ready to embrace peace with all who seek it.”",Trump
23,The  administration will propose that federal agencies be allowed to disregard climate change when  assessing the environmental effects of  major  projects.,Trump
24,Mr. Trump has yet to resolve the two conflicting instincts on national security that emerge from his speeches and his Twitter feed: bellicosity and disengagement.,Trump
25,"Administration officials argue that the general was plotting imminent attacks, but Democrats said that the intelligence they have seen was too vague.",Trump
26,"The defense secretary acknowledged that “the laws of armed conflict” prohibited attacking antiquities and said the military had no plans to do so, even though the president declared them targets.",Trump
27,"The president assumed economic levers would guide the countries’ national interests. Now, he confronts twin challenges in an election year.",Trump
28,"Twenty-one years ago, President Bill Clinton was brought up on charges of high crimes and misdemeanors. But there were some big differences from what President Trump now faces.",Trump
29,The officials appear reluctant to attend an annual hearing after last year’s testimony revealed splits with the White House on key issues and angered President Trump.,Trump
30,An inquiry into years-old disclosures of classified information is highly unusual and leaves law enforcement officials open to accusations of politicizing their work.,Trump
31,The House impeachment managers walked the articles of impeachment across the Capitol after a long-anticipated vote to start what promises to be a partisan impeachment trial of President Trump.,Trump
